campaign_id,campaign_name,ad_group_id,ad_group_name,Date,banner_group_spend,views,clicks,CTR,average_cpc,DIRECT PPV,DIRECT UNITS,INDIRECT UNITS,units_direct_view,units_indirect_view,CVR,DIRECT REVENUE,INDIRECT REVENUE,revenue_direct_view,revenue_indirect_view,Direct ROI,Indirect ROI
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,UO4LRP1LQ37K,GO KIXX 400-auto,27-08-2022,4266.8,83109,812,0.977,5.2547,839,6,0,6,0,0.0148,4794,0,5194,0,2.3409,0
VCXT4YX9M4L7,LF-GOCRUSH,VCPC8NHZ5JPD,410,8/8/2022,4647.5,82663,845,1.0222,5.5,365,0,0,0,0,0,0,0,0,0,0,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,8/8/2022,4988,81553,1247,1.5291,4,641,6,0,4,0,0.008,5594,0,5446,0,2.2133,0
J5ERP57TK6C4,LF-GOKIXX,5GM5Z28YRLM8,GOKIXX-799,28-08-2022,4335,80038,867,1.0832,5,517,2,0,6,0,0.0092,1598,0,5154,0,1.5576,0
W2LQUBQ1GHUK,LF-GOBUDS,60IRAJUORSKN,600 -621,6/8/2022,6866.8,77231,1157,1.4981,5.935,514,3,0,3,0,0.0052,3597,0,1707,0,0.7724,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,21-08-2022,17220.8,77134,1309,1.697,13.1557,493,2,0,0,0,0.0015,1898,0,0,0,0.1102,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,7/8/2022,6942,76331,1249,1.6363,5.558,625,4,0,0,0,0.0032,3465,0,0,0,0.4991,0
W2LQUBQ1GHUK,LF-GOBUDS,GCHX89CQNVTZ,400-410,9/8/2022,5005.6,76269,1243,1.6298,4.027,572,5,0,5,0,0.008,4045,0,2965,0,1.4004,0
6TPOU8BFFYSI,LF-PCA-GOKIXX-PT,UO4LRP1LQ37K,GO KIXX 400-auto,19-08-2022,3035.6,71587,693,0.9681,4.3804,325,2,0,3,0,0.0072,1798,0,3288,0,1.6755,0
VCXT4YX9M4L7,LF-GOCRUSH,686G8YJY0YN2,421,24-08-2022,4306.5,69453,783,1.1274,5.5,434,4,0,0,0,0.0051,5296,0,0,0,1.2298,0
W2LQUBQ1GHUK,LF-GOBUDS,60IRAJUORSKN,600 -621,7/8/2022,6670.8,69102,1047,1.5152,6.3713,381,1,0,2,0,0.0029,999,0,1998,0,0.4493,0
VCXT4YX9M4L7,LF-GOCRUSH,686G8YJY0YN2,421,23-08-2022,4361.5,68734,793,1.1537,5.5,426,2,0,1,0,0.0038,2898,0,1199,0,0.9394,0
W2LQUBQ1GHUK,LF-GOBUDS,60IRAJUORSKN,600 -621,16-08-2022,4356,67369,1089,1.6165,4,430,1,0,2,0,0.0028,899,0,2689,0,0.8237,0
VCXT4YX9M4L7,LF-GOCRUSH,VXMV5LQ9N7PH,900,7/8/2022,8274.2,66729,991,1.4851,8.3493,608,3,0,3,0,0.0061,6097,0,8297,0,1.7396,0
W2LQUBQ1GHUK,LF-GOBUDS,4WGJOGGBFV99,920,6/8/2022,4508,66256,1127,1.701,4,605,9,0,5,0,0.0124,10991,0,4055,0,3.3376,0
